PROVIDER_ID,MEASURE_ID,Hospital_Name,Hospital_Type,Address,City,State,ZIP_Code,County_Name,MEASURE_DESCRIPTION,HOSPITAL_PERFORMANCE,DENOMINATOR,FOOTNOTE,RPTG_PRD_START_DT,RPTG_PRD_END_DT
"050146","PCH-25","CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL","Short-term","1500 E DUARTE ROAD","DUARTE","CA","91010","LOS ANGELES","External Beam Radiotherapy for Bone Metastases","61","84","","01/01/2015","12/31/2015"
"050660","PCH-25","USC KENNETH NORRIS JR CANCER HOSPITAL","Short-term","1441 EASTLAKE AVE","LOS ANGELES","CA","90089","LOS ANGELES","External Beam Radiotherapy for Bone Metastases","100","44","2","01/01/2015","12/31/2015"
"100079","PCH-25","UNIVERSITY OF MIAMI HOSPITAL AND CLINICS","Short-term","1475 NW 12TH AVE","MIAMI","FL","33136","DADE","External Beam Radiotherapy for Bone Metastases","91","99","","01/01/2015","12/31/2015"
"100271","PCH-25","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I","Short-term","12902 MAGNOLIA DR","TAMPA","FL","33612","HILLSBOROUGH","External Beam Radiotherapy for Bone Metastases","91","139","","01/01/2015","12/31/2015"
"220162","PCH-25","DANA-FARBER CANCER INSTITUTE","Short-term","450 BROOKLINE AVENUE","BOSTON","MA","02115","SUFFOLK","External Beam Radiotherapy for Bone Metastases","93","73","2","01/01/2015","12/31/2015"
"330154","PCH-25","MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES","Short-term","1275 YORK AVENUE","NEW YORK","NY","10021","NEW YORK","External Beam Radiotherapy for Bone Metastases","94","100","2","01/01/2015","12/31/2015"
"330354","PCH-25","ROSWELL PARK CANCER INSTITUTE","Short-term","ELM AND CARLTON STREETS","BUFFALO","NY","14203","ERIE","External Beam Radiotherapy for Bone Metastases","96","49","2","01/01/2015","12/31/2015"
"360242","PCH-25","JAMES CANCER HOSPITAL & SOLOVE RESEARCH INSTITUTE","Short-term","460 WEST TENTH AVENUE","COLUMBUS","OH","43210","FRANKLIN","External Beam Radiotherapy for Bone Metastases","89","112","2","01/01/2015","12/31/2015"
"390196","PCH-25","HOSPITAL OF THE FOX CHASE CANCER CENTER","Short-term","333 COTTMAN AVENUE","PHILADELPHIA","PA","19111","PHILADELPHIA","External Beam Radiotherapy for Bone Metastases","100","131","","01/01/2015","12/31/2015"
"450076","PCH-25","UNIVERSITY OF TEXAS M D ANDERSON CANCER CENTER,THE","Short-term","1515 HOLCOMBE BLVD","HOUSTON","TX","77030","HARRIS","External Beam Radiotherapy for Bone Metastases","98","100","2","01/01/2015","12/31/2015"
"500138","PCH-25","SEATTLE CANCER CARE ALLIANCE","Short-term","825 EASTLAKE AVENUE EAST","SEATTLE","WA","98109","KING","External Beam Radiotherapy for Bone Metastases","74","68","","01/01/2015","12/31/2015"
