"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Measure Name","Measure ID","Measure Response","Footnote","Measure Start Date","Measure End Date"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Able to receive lab results electronically","OP_12","Yes","","01/01/2015","12/31/2015"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Able to track patients� lab results, tests, and referrals electronically between visits","OP_17","Yes","","01/01/2015","12/31/2015"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Safe surgery checklist use (outpatient)","OP_25","Yes","","01/01/2015","12/31/2015"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","General Surgery Registry","SM_PART_GEN_SURG","Y","","01/01/2015","12/31/2015"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Nursing care registry","SM_PART_NURSE","Y","","01/01/2015","12/31/2015"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Safe surgery checklist use (inpatient)","SM_SS_CHECK","Y","","01/01/2015","12/31/2015"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Able to receive lab results electronically","OP_12","Yes","","01/01/2015","12/31/2015"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Able to track patients� lab results, tests, and referrals electronically between visits","OP_17","Yes","","01/01/2015","12/31/2015"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Safe surgery checklist use (outpatient)","OP_25","Yes","","01/01/2015","12/31/2015"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","General Surgery Registry","SM_PART_GEN_SURG","Y","","01/01/2015","12/31/2015"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Nursing care registry","SM_PART_NURSE","Y","","01/01/2015","12/31/2015"
"340002","MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE","509 BILTMORE AVE","ASHEVILLE","NC","28801","BUNCOMBE","8282131111","Safe surgery checklist use (inpatient)","SM_SS_CHECK","Y","","01/01/2015","12/31/2015"
"340003","NORTHERN HOSPITAL OF SURRY COUNTY","830 ROCKFORD ST","MOUNT AIRY","NC","27030","SURRY","3367197000","Able to receive lab results electronically","OP_12","Yes","","01/01/2015","12/31/2015"
"340003","NORTHERN HOSPITAL OF SURRY COUNTY","830 ROCKFORD ST","MOUNT AIRY","NC","27030","SURRY","3367197000","Able to track patients� lab results, tests, and referrals electronically between visits","OP_17","Yes","","01/01/2015","12/31/2015"
"340003","NORTHERN HOSPITAL OF SURRY COUNTY","830 ROCKFORD ST","MOUNT AIRY","NC","27030","SURRY","3367197000","Safe surgery checklist use (outpatient)","OP_25","Yes","","01/01/2015","12/31/2015"
"340003","NORTHERN HOSPITAL OF SURRY COUNTY","830 ROCKFORD ST","MOUNT AIRY","NC","27030","SURRY","3367197000","General Surgery Registry","SM_PART_GEN_SURG","N","","01/01/2015","12/31/2015"
"340003","NORTHERN HOSPITAL OF SURRY COUNTY","830 ROCKFORD ST","MOUNT AIRY","NC","27030","SURRY","3367197000","Nursing care registry","SM_PART_NURSE","N","","01/01/2015","12/31/2015"
"340003","NORTHERN HOSPITAL OF SURRY COUNTY","830 ROCKFORD ST","MOUNT AIRY","NC","27030","SURRY","3367197000","Safe surgery checklist use (inpatient)","SM_SS_CHECK","Y","","01/01/2015","12/31/2015"
"340004","HIGH POINT REGIONAL HOSPITAL","601 N ELM ST","HIGH POINT","NC","27261","GUILFORD","3368786000","Able to receive lab results electronically","OP_12","Yes","","01/01/2015","12/31/2015"
"340004","HIGH POINT REGIONAL HOSPITAL","601 N ELM ST","HIGH POINT","NC","27261","GUILFORD","3368786000","Able to track patients� lab results, tests, and referrals electronically between visits","OP_17","Yes","","01/01/2015","12/31/2015"
"340004","HIGH POINT REGIONAL HOSPITAL","601 N ELM ST","HIGH POINT","NC","27261","GUILFORD","3368786000","Safe surgery checklist use (outpatient)","OP_25","Yes","","01/01/2015","12/31/2015"
"340004","HIGH POINT REGIONAL HOSPITAL","601 N ELM ST","HIGH POINT","NC","27261","GUILFORD","3368786000","General Surgery Registry","SM_PART_GEN_SURG","Y","","01/01/2015","12/31/2015"
"340004","HIGH POINT REGIONAL HOSPITAL","601 N ELM ST","HIGH POINT","NC","27261","GUILFORD","3368786000","Nursing care registry","SM_PART_NURSE","Y","","01/01/2015","12/31/2015"
"340004","HIGH POINT REGIONAL HOSPITAL","601 N ELM ST","HIGH POINT","NC","27261","GUILFORD","3368786000","Safe surgery checklist use (inpatient)","SM_SS_CHECK","Y","","01/01/2015","12/31/2015"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","Able to receive lab results electronically","OP_12","Yes","","01/01/2015","12/31/2015"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","Able to track patients� lab results, tests, and referrals electronically between visits","OP_17","Yes","","01/01/2015","12/31/2015"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","Safe surgery checklist use (outpatient)","OP_25","Yes","","01/01/2015","12/31/2015"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","General Surgery Registry","SM_PART_GEN_SURG","N","","01/01/2015","12/31/2015"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","Nursing care registry","SM_PART_NURSE","N","","01/01/2015","12/31/2015"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","Safe surgery checklist use (inpatient)","SM_SS_CHECK","Y","","01/01/2015","12/31/2015"
"340010","WAYNE MEMORIAL HOSPITAL","2700 WAYNE MEMORIAL DR","GOLDSBORO","NC","27534","WAYNE","9197361110","Able to receive lab results electronically","OP_12","Yes","","01/01/2015","12/31/2015"
"340010","WAYNE MEMORIAL HOSPITAL","2700 WAYNE MEMORIAL DR","GOLDSBORO","NC","27534","WAYNE","9197361110","Able to track patients� lab results, tests, and referrals electronically between visits","OP_17","Yes","","01/01/2015","12/31/2015"
