"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Condition","Measure ID","Measure Name","Score","Sample","Footnote","Measure Start Date","Measure End Date"
"333301","BLYTHEDALE CHILDREN'S HOSPITAL","95 BRADHURST AVENUE","VALHALLA","NY","10595","WESTCHESTER","9145927555","Blood Clot Prevention and Treatment","VTE_6","Hospital acquired potentially preventable venous thromboembolism","Not Available","Not Available","19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Emergency Department","ED_1b","ED1","301","411","2 - Data submitted were based on a sample of cases/patients., 3 - Results are based on a shorter time period than required.","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Emergency Department","ED_2b","ED2","88","408","2 - Data submitted were based on a sample of cases/patients., 3 - Results are based on a shorter time period than required.","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Emergency Department","EDV","Emergency department volume","Very High (60,000+ patients annually)","","","01/01/2015","12/31/2015"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Preventive Care","IMM_2","Immunization for influenza","97","535","2 - Data submitted were based on a sample of cases/patients.","10/01/2015","03/31/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Preventive Care","IMM_3_OP_27_FAC_ADHPCT","Healthcare workers given influenza vaccination","91","3460","","10/01/2015","03/31/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Heart Attack or Chest Pain","OP_1","Median Time to Fibrinolysis","Not Available","Not Available","3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Emergency Department","OP_18b","OP 18","180","406","","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Heart Attack or Chest Pain","OP_2","Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival","Not Available","Not Available","3 - Results are based on a shorter time period than required., 7 - No cases met the criteria for this measure.","10/01/2015","09/30/2016"
"340001","CAROLINAS HEALTHCARE SYSTEM NORTHEAST","920 CHURCH ST N","CONCORD","NC","28025","CABARRUS","7047833000","Emergency Department","OP_20","Door to diagnostic eval","34","428","","10/01/2015","09/30/2016"
