"Provider ID","Hospital Name","s_add2","s_city","s_state","s_zip","County Name","Phone Number","Measure ID","Measure Name","Survey Question","Answer Description","AnswerPercent","NumberCompleted","ResponseRate","Footnote","Measure Start Date","Measure End Date"
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_CLEAN_HSP_A_P,Cleanliness of the Hospital Environment,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",80,352,47,21,10/01/2015,09/30/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_COMP_1_A_P,Communication with Nurses,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",81,352,47,21,10/01/2015,09/30/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_COMP_2_A_P,Communication with Doctors,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",83,352,47,21,10/01/2015,09/30/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_COMP_3_A_P,Responsiveness of Hospital Staff,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",75,352,47,21,10/01/2015,09/30/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_COMP_4_A_P,Pain Management,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",71,352,47,21,10/01/2015,09/30/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_COMP_5_A_P,Communication about Medication,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",77,352,47,21,10/01/2015,09/30/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_COMP_6_Y_P,Discharge Information,Patients who reported that YES they were given information about what to do during their recovery at home,"Yes staff ""did"" give patients this information",89,352,47,21,10/01/2015,09/30/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_COMP_7_SA,Care Transition,"Patients who ""Strongly Agree"" they understood their care when they left the hospital",Patients who “Strongly Agree” they understood their care when they left the hospital,59,352,47,21,10/01/2015,09/30/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_HSP_RATING_9_10,Overall Rating of Hospital,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",73,352,47,21,10/01/2015,09/30/2016
20003F,TOGUS VA MEDICAL CENTER,1 VA CENTER,AUGUSTA,ME,04330,KENNEBEC,2076238411,H_QUIET_HSP_A_P,Quietness of the Hospital Environment,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",58,352,47,21,10/01/2015,09/30/2016
